name,address,phone_number,has_website,website,business_type,search_term,google_maps_url,rating,location,coord,scraped_date,opening_hours,price_level,reviews_count,wine_region,email,Subject
Criterion Hotel Gundagai,"172 Sheridan St, Gundagai, NSW, 2722",(02) 6944 1048,TRUE,https://www.criterionhotelgundagai.com.au/,restaurant,winery cellar door Gundagai,https://maps.google.com/?cid=7004959199194404729,4.3,Gundagai,"{'latitude': -35.0646136, 'longitude': 148.104829}",9/4/2025,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 1:00 AM; Saturday: 10:00 AM – 1:00 AM; Sunday: 10:00 AM – 10:00 PM,0,807,Gundagai,,SIP Canberra invitation
Cypher Brewing Co,"35 Hinder St, Gungahlin, ACT, 2912",0423 244 404,TRUE,http://www.cypherbrewing.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=12168514389613677950,4.5,Canberra,"{'latitude': -35.1861056, 'longitude': 149.1376555}",9/4/2025,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM,0,142,Canberra,,SIP Canberra invitation
eightysix south,"45 Furzer St, Phillip, ACT, 2606",(02) 6101 1308,TRUE,http://www.eightysix.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=10279654641506697963,4.8,Canberra,"{'latitude': -35.34380960000001, 'longitude': 149.0847979}",9/4/2025,Monday: Closed; Tuesday: 6:00 – 10:00 PM; Wednesday: 6:00 – 10:00 PM; Thursday: 6:00 – 10:00 PM; Friday: 6:00 – 10:00 PM; Saturday: 6:00 – 10:00 PM; Sunday: Closed,0,94,Canberra,south@eightysix.com.au,SIP Canberra invitation
Four Winds Vineyard,"9 Patemans Ln, Murrumbateman, NSW, 2582",(02) 6227 0189,TRUE,http://www.fourwindsvineyard.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=15572066415461024848,4.4,Canberra,"{'latitude': -34.9923127, 'longitude': 149.0574104}",9/4/2025,Monday: 11:00 AM – 4:00 PM; Tuesday: 11:00 AM – 4:00 PM; Wednesday: 11:00 AM – 4:00 PM; Thursday: 11:00 AM – 4:00 PM; Friday: 11:00 AM – 4:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: 11:00 AM – 5:00 PM,0,237,Canberra,"hello@fourwindsvineyard.com.au, sally@fourwindsvineyard.com.au",SIP Canberra invitation
Francescos Pizza Palace,"94 Sheridan St, Gundagai, NSW, 2722",(02) 6935 5844,FALSE,,restaurant,winery cellar door Gundagai,https://maps.google.com/?cid=6722451178849873611,4.8,Gundagai,"{'latitude': -35.0658691, 'longitude': 148.1080713}",9/4/2025,,0,90,Gundagai,,SIP Canberra invitation
Grazing Restaurant,"42 Cork St, Gundaroo, NSW, 2620",(02) 6236 8777,TRUE,http://www.grazing.com.au/,restaurant,winery cellar door Murrumbateman,https://maps.google.com/?cid=17590174942455101586,4.8,Murrumbateman,"{'latitude': -35.0265306, 'longitude': 149.265475}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 12:00 – 2:00 PM, 6:00 – 9:00 PM; Friday: 12:00 – 2:00 PM, 6:00 – 9:00 PM; Saturday: 11:30 AM – 2:30 PM, 6:00 – 9:00 PM; Sunday: 11:30 AM – 2:30 PM",3,558,Murrumbateman,"info@grazing.com.au, 8777info@grazing.com.au",SIP Canberra invitation
Ladbroken Distillery Brewhouse,"7 Albury St, Tumbarumba, NSW, 2653",(02) 6046 9746,TRUE,http://www.ladbroken.com/,restaurant,winery cellar door Tumbarumba,https://maps.google.com/?cid=4862525349331175018,4.9,Tumbarumba,"{'latitude': -35.77705839999999, 'longitude': 148.0076172}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 12:00 – 7:00 PM; Friday: 12:00 – 7:00 PM; Saturday: 12:00 – 7:00 PM; Sunday: 11:00 AM – 7:00 PM,0,42,Tumbarumba,,SIP Canberra invitation
Lake George Winery,"173 The Vineyards Rd, Lake George, NSW, 2620",(02) 4848 0182,TRUE,http://www.lakegeorgewinery.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=7591404729631892373,4.6,Canberra,"{'latitude': -34.984022, 'longitude': 149.3821903}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,0,317,Canberra,"info@lakegeorgewinery.com.au, info@lakegoergewinery.com.au",SIP Canberra invitation
Lanterne Rooms,"81 Constitution Ave, Campbell, ACT, 2612",(02) 6249 6889,TRUE,https://chairmangroup.com.au/lanterne-rooms/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=6714593085112923515,4.8,Canberra,"{'latitude': -35.2919584, 'longitude': 149.1457994}",9/4/2025,"Monday: Closed; Tuesday: 6:00 – 10:30 PM; Wednesday: 12:00 – 2:00 PM, 6:00 PM – 12:00 AM; Thursday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Friday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Saturday: 6:00 – 10:30 PM; Sunday: Closed",3,331,Canberra,"lanternerooms@gmail.com%20, lanternerooms@gmail.com",SIP Canberra invitation
Lerida Estate,"87 The Vineyards Rd, Lake George, NSW, 2620",(02) 4848 0231,TRUE,https://www.leridaestate.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=3579975540019210137,4.4,Canberra,"{'latitude': -34.9941957, 'longitude': 149.3824064}",9/4/2025,Monday: 10:00 AM – 5:00 PM; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 10:00 AM – 5:00 PM; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,0,298,Canberra,wine@leridaestate.com,SIP Canberra invitation
Masala Library By Sid,"31 Kendal St, Cowra, NSW, 2794",(02) 6305 7334,TRUE,https://www.masalalibrarybysid.com/,restaurant,wine estate cowra,https://maps.google.com/?cid=10281812723656686340,4.8,cowra,"{'latitude': -33.8343636, 'longitude': 148.6877719}",9/4/2025,"Monday: 4:30 – 9:00 PM; Tuesday: 4:30 – 9:00 PM; Wednesday: 4:30 – 9:00 PM; Thursday: 4:30 – 9:00 PM; Friday: 11:30 AM – 1:30 PM, 4:30 – 9:00 PM; Saturday: 4:30 – 9:00 PM; Sunday: Closed",2,333,cowra,masalalibrarybysid@gmail.com,SIP Canberra invitation
McDonalds Gundagai,"143 Mount St, Gundagai, NSW, 2722",(02) 6944 3322,TRUE,https://mcdonalds.com.au/?utm_medium=local&utm_source=google%20my%20business&utm_campaign=local%20search&utm_content=nsw&utm_term=mcdonalds%20gundagai,restaurant,wine tasting Gundagai,https://maps.google.com/?cid=6400827306854462037,3.1,Gundagai,"{'latitude': -35.0844268, 'longitude': 148.0919918}",9/4/2025,Monday: 6:00 AM – 10:00 PM; Tuesday: 6:00 AM – 10:00 PM; Wednesday: 6:00 AM – 10:00 PM; Thursday: 6:00 AM – 10:00 PM; Friday: 6:00 AM – 10:00 PM; Saturday: 6:00 AM – 10:00 PM; Sunday: 6:00 AM – 10:00 PM,1,2926,Gundagai,,SIP Canberra invitation
Murrumbateman Country Inn,"Barton Hwy, Murrumbateman, NSW, 2582",(02) 6227 5802,TRUE,http://www.murrumbatemaninn.com.au/,restaurant,vineyard tasting room Murrumbateman,https://maps.google.com/?cid=12468289692178728106,4.3,Murrumbateman,"{'latitude': -34.9691963, 'longitude': 149.0299224}",9/4/2025,Monday: 11:30 AM – 8:30 PM; Tuesday: 11:30 AM – 8:30 PM; Wednesday: 11:30 AM – 8:30 PM; Thursday: 11:30 AM – 8:30 PM; Friday: 11:30 AM – 8:30 PM; Saturday: 11:30 AM – 8:30 PM; Sunday: 11:30 AM – 8:30 PM,2,675,Murrumbateman,info@murrumbatemaninn.com.au,SIP Canberra invitation
Niagara Cafe,"142 Sheridan St, Gundagai, NSW, 2722",(02) 9069 5733,TRUE,https://www.facebook.com/NiagaraCafeGundagai/,restaurant,wine tasting Gundagai,https://maps.google.com/?cid=10676687569558696690,4.6,Gundagai,"{'latitude': -35.0651057, 'longitude': 148.1061279}",9/4/2025,Monday: 8:00 AM – 3:00 PM; Tuesday: 8:00 AM – 3:00 PM; Wednesday: 8:00 AM – 3:00 PM; Thursday: 8:00 AM – 3:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: 8:00 AM – 3:00 PM; Sunday: 8:00 AM – 3:00 PM,0,789,Gundagai,,SIP Canberra invitation
Nick OLeary Winery HEYWOOD,"149 Brooklands Rd, Wallaroo, NSW, 2618",0480 510 595,TRUE,http://www.nickolearywines.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=13530811206595882226,4.7,Canberra,"{'latitude': -35.1634839, 'longitude': 148.987201}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 11:00 AM – 5:00 PM; Friday: 11:00 AM – 5:00 PM; Saturday: 11:00 AM – 5:00 PM; Sunday: 11:00 AM – 5:00 PM,0,211,Canberra,,SIP Canberra invitation
Nimbo Fork Lodge,"330 Nimbo Rd, Killimicat, NSW, 2720",(02) 6944 9099,TRUE,https://nimbofork.com.au/,restaurant,winery cellar door Gundagai,https://maps.google.com/?cid=12818769874409558208,4.8,Gundagai,"{'latitude': -35.191967, 'longitude': 148.1964416}",9/4/2025,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,0,136,Gundagai,,SIP Canberra invitation
Oak on Kendal,"5 Kendal St, Cowra, NSW, 2794",0475 440 700,TRUE,https://www.facebook.com/share/19jncAD7Y9/?mibextid=wwXIfr,restaurant,winery cellar door cowra,https://maps.google.com/?cid=6420709679449468077,4.9,cowra,"{'latitude': -33.8342466, 'longitude': 148.6866578}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 6:00 – 11:00 PM; Friday: 12:00 – 2:00 PM, 6:00 PM – 12:00 AM; Saturday: 6:00 PM – 12:00 AM; Sunday: 12:00 AM – 12:00 PM",0,32,cowra,,SIP Canberra invitation
Olivers  Gundagai,"31 Annie Pyers Dr, Gundagai, NSW, 2722",(02) 6935 5206,TRUE,https://olivers.com.au/,restaurant,wine tasting Gundagai,https://maps.google.com/?cid=988520639778808905,3.4,Gundagai,"{'latitude': -35.0023117, 'longitude': 148.1103057}",9/4/2025,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,2,1055,Gundagai,,SIP Canberra invitation
Olleyville,"34 Isabel Dr, Murrumbateman, NSW, 2582",(02) 6227 5144,TRUE,https://www.olleyville.com/,restaurant,wine estate Murrumbateman,https://maps.google.com/?cid=11716706655622871182,4.2,Murrumbateman,"{'latitude': -34.9775889, 'longitude': 149.0078859}",9/4/2025,,2,298,Murrumbateman,,SIP Canberra invitation
Onzieme,"Eyre St, Kingston, ACT, 2604",0424 894 763,TRUE,https://www.onzieme.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=1165716945209165969,4.7,Canberra,"{'latitude': -35.3166882, 'longitude': 149.1414601}",9/4/2025,Monday: Closed; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:00 PM; Saturday: 6:00 – 11:00 PM; Sunday: Closed,0,364,Canberra,hello@onzieme.com.au,SIP Canberra invitation
Parlour Wine Room,"16 Kendall Ln, Canberra, ACT, 2601",0438 174 454,TRUE,http://www.parlourdining.com.au/,restaurant,vineyard tasting room Canberra region,https://maps.google.com/?cid=1074029810648573102,4.3,Canberra region,"{'latitude': -35.284932, 'longitude': 149.1239066}",9/4/2025,Monday: Closed; Tuesday: 3:00 – 11:30 PM; Wednesday: 3:00 – 11:30 PM; Thursday: 3:00 – 11:30 PM; Friday: 3:00 – 11:30 PM; Saturday: 3:00 – 11:30 PM; Sunday: Closed,3,548,Canberra region,hello@parlourdining.com.au,SIP Canberra invitation
Parlour Wine Room,"16 Kendall Ln, Canberra, ACT, 2601",0438 174 454,TRUE,http://www.parlourdining.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=1074029810648573102,4.3,Canberra,"{'latitude': -35.284932, 'longitude': 149.1239066}",9/4/2025,Monday: Closed; Tuesday: 3:00 – 11:30 PM; Wednesday: 3:00 – 11:30 PM; Thursday: 3:00 – 11:30 PM; Friday: 3:00 – 11:30 PM; Saturday: 3:00 – 11:30 PM; Sunday: Closed,3,548,Canberra,hello@parlourdining.com.au,SIP Canberra invitation
Pavilion Dining  Pialligo Estate,"18 Kallaroo Rd, Pialligo, ACT, 2609",(02) 6247 6060,TRUE,https://www.thepialligoestate.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=20665436551092766,4.8,Canberra,"{'latitude': -35.3124489, 'longitude': 149.1814791}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM; Friday: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM; Saturday: 11:30 AM – 2:30 PM, 5:30 – 10:00 PM; Sunday: 11:30 AM – 3:00 PM",0,151,Canberra,,SIP Canberra invitation
peonee restaurant,"Pentland St, Campbell, ACT, 2612",0432 492 688,TRUE,http://www.peoneerestaurant.com.au/,restaurant,wine tasting Canberra,https://maps.google.com/?cid=13951510792019550392,4.7,Canberra,"{'latitude': -35.2890517, 'longitude': 149.1435111}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 5:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: Closed,0,123,Canberra,info@peonee.com.au,SIP Canberra invitation
Pialligo Estate,"18 Kallaroo Rd, Pialligo, ACT, 2609",(02) 6229 3900,TRUE,https://pialligoestate.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=9026022678625669882,4.0,Canberra,"{'latitude': -35.3130183, 'longitude': 149.1815478}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 12:00 – 3:00 PM, 5:30 – 10:00 PM; Friday: 12:00 – 3:00 PM, 5:30 – 10:00 PM; Saturday: 12:00 – 3:00 PM, 5:30 – 10:00 PM; Sunday: 11:30 AM – 3:00 PM",3,565,Canberra,"info@pialligoestate.com.au, 2609info@pialligoestate.com.au",SIP Canberra invitation
Poachers Pantry,"431 Nanima Rd, Springrange, NSW, 2618",(02) 6230 2487,TRUE,http://www.poacherspantry.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=7040520753184483025,4.3,Canberra,"{'latitude': -35.08409320000001, 'longitude': 149.0570175}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: 10:30 AM – 5:00 PM; Thursday: 10:30 AM – 5:00 PM; Friday: 10:30 AM – 5:00 PM; Saturday: 10:30 AM – 5:00 PM; Sunday: 10:30 AM – 5:00 PM,3,806,Canberra,,SIP Canberra invitation
Rainbow Noodles and Sushi,"21 Kendal St, Cowra, NSW, 2794",(02) 6341 1882,FALSE,,restaurant,wine estate cowra,https://maps.google.com/?cid=14546225048826238420,4.5,cowra,"{'latitude': -33.8343129, 'longitude': 148.6875285}",9/4/2025,Monday: 10:30 AM – 8:30 PM; Tuesday: 10:30 AM – 8:30 PM; Wednesday: 10:30 AM – 8:30 PM; Thursday: 10:30 AM – 9:00 PM; Friday: 10:30 AM – 9:00 PM; Saturday: 10:30 AM – 9:00 PM; Sunday: 10:30 AM – 8:30 PM,1,127,cowra,,SIP Canberra invitation
Rizla,"24 Lonsdale St, Braddon, ACT, 2612",(02) 6230 0771,TRUE,http://drinkrizla.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=9092939827724324731,4.8,Canberra,"{'latitude': -35.2731547, 'longitude': 149.133059}",9/4/2025,Monday: Closed; Tuesday: 5:30 – 9:30 PM; Wednesday: 5:30 – 9:30 PM; Thursday: 5:30 – 9:30 PM; Friday: 12:00 – 10:30 PM; Saturday: 12:00 – 10:30 PM; Sunday: 12:00 – 8:30 PM,0,268,Canberra,info@drinkrizla.com.au,SIP Canberra invitation
Rodneys Garden Café,"24a Beltana Rd, Pialligo, ACT, 2609",(02) 6257 5822,TRUE,https://www.kitchengardenrodneys.com.au/,restaurant,wine estate Canberra,https://maps.google.com/?cid=17978483298110234025,4.3,Canberra,"{'latitude': -35.310732, 'longitude': 149.1852725}",9/4/2025,Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 4:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,2,1003,Canberra,cafe@rodneys.com.au,SIP Canberra invitation
SAJ Café and Restaurant,"23b Clarke St, Young, NSW, 2594",(02) 6382 1583,TRUE,https://sandajcafe.com.au/,restaurant,wine tasting Hilltops,https://maps.google.com/?cid=9180343750528572471,4.6,Hilltops,"{'latitude': -34.3115342, 'longitude': 148.2928348}",9/4/2025,"Monday: 6:00 AM – 4:00 PM; Tuesday: 6:00 AM – 4:00 PM; Wednesday: 6:00 AM – 4:00 PM; Thursday: 6:00 AM – 4:00 PM; Friday: 6:00 AM – 4:00 PM, 5:00 – 9:00 PM; Saturday: 7:00 AM – 3:00 PM, 5:00 – 9:00 PM; Sunday: 7:00 AM – 3:00 PM",2,299,Hilltops,info@sandajcafe.com.au,SIP Canberra invitation
Subway,"Hume Hwy, Gundagai, NSW, 2722",(02) 6944 2914,TRUE,http://www.subway.com/en-au,restaurant,wine estate Gundagai,https://maps.google.com/?cid=12579727234357894022,3.7,Gundagai,"{'latitude': -35.0042307, 'longitude': 148.1106346}",9/4/2025,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,1,318,Gundagai,,SIP Canberra invitation
Such and Such Restaurant,"220 London Cct, Canberra, ACT, 2601",0426 698 776,TRUE,http://www.andsuchandsuch.com/,restaurant,wine tasting Canberra,https://maps.google.com/?cid=4371801018358453286,4.6,Canberra,"{'latitude': -35.2821858, 'longitude': 149.131415}",9/4/2025,Monday: 5:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: Closed,0,194,Canberra,hello@ANDsuchandsuch.com,SIP Canberra invitation
Surveyors Hill Vineyards,"215 Brooklands Rd, Wallaroo, NSW, 2618",(02) 6230 2046,TRUE,http://surveyorshill.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=7467355471549127086,4.7,Canberra,"{'latitude': -35.16430950000001, 'longitude': 148.9776832}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,0,78,Canberra,"hello@surveyorshill.com.au, survhill@westnet.com.au",SIP Canberra invitation
The Boat House,"Menindee Dr, Barton, ACT, 2600",(02) 6273 5500,TRUE,https://theboathouse.restaurant/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=8890723010123381387,4.7,Canberra,"{'latitude': -35.3045099, 'longitude': 149.1504196}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 6:00 – 8:30 PM; Friday: 12:00 – 2:00 PM, 6:00 – 8:30 PM; Saturday: 12:00 – 2:00 PM, 6:00 – 8:30 PM; Sunday: 12:00 – 2:00 PM",3,670,Canberra,,SIP Canberra invitation
The Cranfield,"26 Zouch St, Young, NSW, 2594",0481 488 165,TRUE,http://thecranfield.com.au/,restaurant,vineyard tasting room Hilltops,https://maps.google.com/?cid=6763816215351114313,4.9,Hilltops,"{'latitude': -34.31332769999999, 'longitude': 148.3009847}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 5:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,0,27,Hilltops,2594thecranfield@gmail.comFollow,SIP Canberra invitation
